App_Name,Review,Platforms,Link,Age_Rating,Date_Published
Five Nights at Freddy’s AR: Special Delivery,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/five-nights-at-freddys-ar-special-delivery,13,2021-05-10
Photo Play (for Families),4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/photo-play-for-families,3,2021-05-07
Suspects: Mystery Mansion,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/suspects-mystery-mansion,10,2021-05-07
Machinika Museum,4,"iPhone, iPod Touch, iPad, Mac, Android",https://www.commonsensemedia.org/app-reviews/machinika-museum,10,2021-05-03
Ministry of Broadcast,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/ministry-of-broadcast,12,2020-09-28
Joy of Reading - learn to read,4,"iPhone, iPod Touch, iPad, Android, Kindle Fire",https://www.commonsensemedia.org/app-reviews/joy-of-reading-learn-to-read,4,2020-07-15
Score! Hero 2,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/score-hero-2,8,2021-04-30
Animal Antics (for Families),4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/animal-antics-for-families,4,2021-04-29
Small Wonders (for Families),4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/small-wonders-for-families,3,2021-04-29
Truth and Tales - Kids Stories,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/truth-and-tales-kids-stories,5,2020-06-12
Creatures of Aether,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/creatures-of-aether,8,2021-01-22
Crash Bandicoot: On the Run!,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/crash-bandicoot-on-the-run,8,2021-04-02
Birdie Crush: Fantasy Golf,3,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/birdie-crush-fantasy-golf,10,2021-02-23
Auto Brawl Chess: Battle Royale,3,Android,https://www.commonsensemedia.org/app-reviews/auto-brawl-chess-battle-royale,10,2020-08-21
Lirica - Learn Languages,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/lirica-learn-languages,13,2020-05-29
Deck 'Em!,3,"iPhone, iPad",https://www.commonsensemedia.org/app-reviews/deck-em,10,2020-09-24
Dollify,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/dollify,4,2020-09-23
Learn Math Facts,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/learn-math-facts,6,2020-07-15
Sporcle Party,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/sporcle-party,12,2020-07-13
Blades of Brim,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/blades-of-brim,8,2021-04-26
Amira and the StoryCraft,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/amira-and-the-storycraft,6,2021-04-23
Colossill Gram,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/colossill-gram,16,2020-06-12
ScoreSkills - Learn Music,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/scoreskills-learn-music,7,2020-06-12
Summer of Memories,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/summer-of-memories,8,2021-01-21
Molly of Denali: Learning App,4,"iPhone, iPod Touch, iPad, Android, Kindle Fire",https://www.commonsensemedia.org/app-reviews/molly-of-denali-learning-app,4,2021-01-21
Kitty Letter,4,"iPhone, iPod Touch, iPad, Mac, Android",https://www.commonsensemedia.org/app-reviews/kitty-letter,8,2021-03-29
Dispo - Live in the Momen‪t,3,"iPhone, iPod Touch",https://www.commonsensemedia.org/app-reviews/dispo-live-in-the-moment,14,2021-03-29
